PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+\-
Chandler Hutchison,PHX,25,6,4,2,22,4,1,2,50,0,0,0,2,2,100,0,5,5,2,4,0,0,1,0,0,15
Gabe York,IND,28,2,0,2,21,8,2,7,28.6,1,6,16.7,3,5,60,0,2,2,4,1,2,1,4,0,0,-4
Damyean Dotson,NYK,27,2,1,1,21,4,2,4,50,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,3
Jay Huff,LAL,24,4,0,4,20,0,0,3,0,0,2,0,0,0,0,1,3,4,1,1,1,1,1,0,0,15
Joel Ayayi,WAS,22,7,1,6,20,2,1,6,16.7,0,1,0,0,0,0,1,2,3,4,0,0,0,0,0,0,3
George King,DAL,28,4,2,2,19,1,0,5,0,0,4,0,1,2,50,0,5,5,0,1,0,0,4,0,0,-27
Wayne Selden,NYK,27,3,2,1,19,5,1,4,25,1,2,50,2,4,50,0,1,1,1,0,0,0,1,0,0,-13
Norvel Pelle,UTA,29,3,0,3,19,6,3,5,60,0,0,0,0,0,0,3,3,6,0,2,0,1,1,0,0,-19
Craig Sword,WAS,28,3,1,2,19,6,3,4,75,0,1,0,0,0,0,0,0,0,1,1,4,0,7,0,0,1
McKinley Wright IV,MIN,23,5,3,2,19,5,2,3,66.7,1,2,50,0,0,0,0,0,0,3,1,0,0,1,0,0,-7
Emanuel Terry,PHX,25,3,2,1,18,0,0,5,0,0,0,0,0,0,0,8,7,15,2,5,1,0,4,0,0,-19
Eugene Omoruyi,DAL,25,4,1,3,18,7,2,5,40,1,2,50,2,4,50,2,5,7,2,0,0,0,2,0,0,3
Scotty Hopson,OKC,32,1,0,1,18,4,2,4,50,0,1,0,0,0,0,0,1,1,1,2,0,0,1,0,0,-6
Aaron Henry,PHI,22,6,6,0,17,2,1,5,20,0,1,0,0,0,0,0,1,1,0,2,0,2,2,0,0,-20
Trayvon Palmer,DET,27,1,0,1,17,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,2,0,0,-12
Sekou Doumbouya,LAL,21,2,0,2,16,14,5,8,62.5,1,2,50,3,4,75,2,4,6,0,2,3,2,1,0,0,24
Dakota Mathias,MEM,26,6,5,1,16,6,2,6,33.3,2,6,33.3,0,0,0,0,2,2,1,0,1,0,1,0,0,-11
Jaylen Morris,SAS,26,3,0,3,16,2,0,6,0,0,2,0,2,4,50,0,2,2,2,1,0,0,2,0,0,8
Moses Wright,DAL,23,4,4,0,15,5,1,4,25,0,1,0,3,3,100,1,2,3,2,0,0,1,0,0,0,-7
Jemerrio Jones,LAL,27,2,0,2,15,4,2,3,66.7,0,0,0,0,0,0,2,1,3,0,0,1,0,2,0,0,-13
Cat Barber,ATL,27,3,0,3,13,0,0,4,0,0,0,0,0,4,0,1,2,3,3,1,0,0,1,0,0,11
Jarron Cumberland,POR,24,3,0,3,12,2,1,2,50,0,1,0,0,0,0,1,2,3,1,0,0,0,2,0,0,9
Trevon Scott,CLE,25,2,1,1,11,6,3,6,50,0,1,0,0,0,0,1,1,2,0,0,1,1,2,0,0,4
Emmanuel Mudiay,SAC,26,2,0,2,11,3,0,2,0,0,0,0,3,4,75,0,0,0,4,1,1,0,1,0,0,-7
JaQuori McLaughlin,DAL,24,4,2,2,11,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,-9
Rob Edwards,OKC,25,2,0,2,11,3,1,4,25,1,4,25,0,0,0,0,3,3,0,1,0,0,0,0,0,-14
Shaq Buchanan,MEM,25,2,2,0,10,2,1,4,25,0,2,0,0,0,0,1,1,2,2,2,1,0,1,0,0,-2
DaQuan Jeffries,MEM,24,3,3,0,9,2,1,2,50,0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,-3
MJ Walker,PHX,24,2,1,1,8,0,0,4,0,0,2,0,0,0,0,0,1,1,1,0,2,0,1,0,0,-3
Feron Hunt,NYK,22,2,2,0,8,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,-1
Jon Teske,MEM,24,3,3,0,8,0,0,1,0,0,0,0,0,2,0,0,2,2,1,0,1,0,1,0,0,-3
Anthony Lamb,HOU,24,2,0,2,8,0,0,2,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,5
Malik Newman,CLE,25,1,0,1,8,8,3,5,60,0,1,0,2,2,100,0,1,1,1,1,0,0,0,0,0,1
Paris Bass,PHX,26,2,2,0,7,6,2,6,33.3,0,2,0,2,2,100,2,2,4,0,2,1,0,2,0,0,2
Jaysean Paige,DET,27,1,1,0,7,0,0,3,0,0,2,0,0,0,0,0,1,1,1,1,0,0,2,0,0,-10
Scottie Lewis,CHA,22,2,1,1,7,1,0,0,0,0,0,0,1,2,50,0,0,0,1,0,1,0,0,0,0,-4
Jordan Goodwin,WAS,23,2,1,1,6,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,-8
Jaden Springer,PHI,19,2,2,0,6,2,1,1,100,0,0,0,0,0,0,1,1,2,0,1,0,2,0,0,0,-8
Arnoldas Kulboka,CHA,24,2,2,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-12
Matt Ryan,BOS,24,1,1,0,5,3,1,5,20,1,5,20,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Zylan Cheatham,UTA,26,1,0,1,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13
Jaime Echenique,WAS,24,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Tyrell Terry,MEM,21,2,2,0,3,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2
Javin DeLaurier,MIL,24,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4
Nate Hinton,IND,22,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
Jordan Bell,CHI,27,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1
David Johnson,TOR,21,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
CJ Miles,BOS,35,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5
Joe Johnson,BOS,40,1,1,0,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Matt Mooney,NYK,27,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-5
Tyler Hall,NYK,25,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Ade Murkey,SAC,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Sam Dekker,TOR,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
DeJon Jarreau,IND,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ahmad Caver,IND,25,1,0,1,1,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
